Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Krimi,V Ostravě hoří hala s odpadem, plameny likvidují desítky hasičů,18131,85,34002537,84,63405218,74,81661243,74,81109702
Krimi,Řidič motorky nepřežil střet s autem na křižovatce u Prahy,17840,79,57399103,64,12556054,63,53699552,59,37780269
Express,EXPRESS NOVINEK: Setkání Trumpa, Zelenského a evropských lídrů v Bílém domě,17801,9,100612325,5,291837537,3,81439245,2,556036178
Válka na Ukrajině,Ukrajinští mariňáci v noci vztyčili v okupované Chersonské oblasti vlajku Ukrajiny,17663,88,8920342,79,58444205,70,54860443,66,77234898
Válka na Ukrajině,ON-LINE: USA se budou podílet na bezpečnostních zárukách pro Ukrajinu, řekl Trump,17504,90,04227605,87,7285192,81,63276965,76,46252285
Věda a školy,Plynaři v Peru při kopání objevili dvě tisíc let staré hrobky,16569,77,47600942,67,54179492,58,91725511,50,77554469
Krimi,Za brutální útok na dvě dívky dostal bývalý úředník ministerstva spravedlnosti podmínku,16493,85,03607591,78,99715031,63,57848784,55,98738859
Kraj Vysočina,Už je skoro hotovo. Bagr zavěšený na jeřábu nadále bourá stometrový komín dukovanské elektrárny,15946,81,92650194,67,84146494,46,98984071,38,25410761
AI,AI vrátila ženě hlas po 25 letech. Stačilo osm vteřin staré nahrávky,15292,81,70285116,66,70154329,52,87732148,42,77399948
Ústecký kraj,U Měděnce v Krušných horách na Chomutovsku se po letech bude znovu těžit,14768,90,30335861,85,16386782,79,93634886,78,36538462
Bydlení,Vodárenská věž v Jičíně nabízí netradiční nocleh s perličkou pro odvážlivce,14339,69,55157263,56,62877467,47,69509729,39,77962201
Krimi,Tragická nehoda na Táborsku. Řidič škody narazil do stromu u silnice,14336,87,57672991,77,50418527,65,02511161,59,84235491
Podcasty a pořady,Ondřej Neff o srpnu 1968: Po chodbách rozhlasu jsme doslova šli krví,14221,9,900850854,6,52556079,5,105126222,3,016665495
Krimi,Muž ve Varech vyhodil psa z pátého patra. Dostal čtyři roky vězení,14005,90,62477687,83,46304891,78,23634416,78,23634416
Koktejl,Na dálnici v Číně se zřítil jeřáb, pohotový řidič odvrátil střet v poslední vteřině,13898,90,14246654,76,89595625,74,08979709,65,97352137
Bydlení,DJ si kvůli stížnostem od sousedů předělal nahrávací studio. Vstup má jako do kadibudky,13825,78,70524412,52,46292948,32,08679928,20,96202532
Cestování,Turisty na řecké pláži překvapil rohatý bandita,13189,85,38175753,69,360831,60,34574266,46,68284176
Domácí,Ve Vršovicích se jela Formule 1 ve skateboardingu. Hlavně to přežít, říkali jezdci o extrémním závodě,12877,80,30597189,66,31979498,58,12689291,49,20400714
Krimi,Má zákaz řízení a nesmí do Česka. Jízda opilého Poláka skončila u Olomouce,12865,92,56121259,88,55810338,82,35522736,82,34745433
Domácí,S kamerou na stavbě Dvoreckého mostu. Hotový by měl být v únoru,12822,83,38012791,74,80112307,67,57916082,58,4698175
Moravskoslezský kraj,Originál od Kodeta odnesli zloději do šrotu, novou lázeňskou kolonádu v Darkově zdobí replika,12292,76,79791734,60,71428571,47,51871136,42,97917345
Tipy na výlety,Roztomilá mláďata rysů lákají kousek za české hranice. Jejich spatření se rovná výhře v loterii,12157,81,64020729,72,41095665,64,55540018,53,10520688
Válka na Ukrajině,Ruský útok zasáhl americký podnik v Mukačevu. Kousek od hranice Slovenska,11852,85,01518731,78,13027337,69,95443807,64,99325008
Amerika,Před 36 lety zavraždil s bratrem své rodiče. Soud Erikovi Menendezovi zamítl žádost o propuštění,11098,91,32276086,85,56496666,79,3746621,77,69868445
Krimi,Policie na Kolínsku prověřuje vraždu, zadržela podezřelého,10740,70,77281192,58,78026071,42,68156425,37,42085661
Královéhradecký kraj,Kostel v Neratově má po 80 letech varhany, původně hrály v Karolinu,10006,80,13192085,66,60003998,59,18448931,51,55906456
Koktejl,Řidička v Číně prorazila na parkovišti u koupaliště živý plot a sjela i s dítětem do bazénu,9890,92,4570273,79,3528817,73,4479272,61,65824065
Hardware,Box, fotbal i štafeta. Humanoidní roboti se utkali na multisportovním klání v Číně,9532,92,77171632,86,09945447,77,01426773,64,08938313
Krimi,Předstíral koupi telefonu, místo peněz vytasil pepřák. Zloděje ovšem natočila kamera,9242,85,12226791,78,19735988,62,57303614,54,54447089
Krimi,Bělorus při jízdě přes Česko nechal v kamionu udusit Syřanku, hrozí mu 12 let,9134,91,86555726,85,82220276,78,58550471,74,75366762
Zahraniční,Muž založil požár na letišti v Itálii. Rozbíjel přepážky kladivem,8914,85,43863585,74,68027821,68,85797622,54,77899933
Hry a herní systémy,Za pět dní 800 tisíc prodaných kopií. Mafia: Domovina je hit,8859,68,91296986,56,82356925,44,13590699,31,5046845
Lifestyle,Linda s Markem poběží 700 km přes Alpy, aby se v Česku mohl vyrábět lék na rakovinu,8438,75,57478075,64,24508177,50,55700403,45,31879592
Hry a herní systémy,Gamescom 2025: Nejlepší videohry pro PC, konzole a mobily,8328,47,22622478,30,76368876,22,01008646,14,51729107
Hry a herní systémy,Gamescom 2025: Fanoušci očekávali senzace okolo GTA VI, odešli ale zklamaní,7988,73,43515273,64,44667001,55,18277416,46,98297446
Zahraniční,USA budují ambiciózní flotilu námořních dronů. Zatím je to velké fiasko,7938,85,14739229,72,19702696,72,14663643,72,02066012
Hlavní město Praha,Před ruskou ambasádou si srpen 1968 připomněly stovky lidí s ukrajinskými vlajkami,7674,59,29111285,43,15871775,33,43758144,26,43992703
Film,Neobratný anděl Keanu Reeves hledá smysl své práce. Komedie Boží úlet se blíží do kin,7513,80,02129642,67,34992679,60,28217756,46,49274591
Krimi,Dálnici D5 zablokovala nehoda dvou kamionů,7442,83,96936307,73,16581564,71,88927708,65,99032518
2. světová válka,Japonsko kapitulovalo. Jeho poslední voják bojoval dalších 29 let,7223,86,8337256,82,07116157,77,84853939,68,54492593
Koktejl,Mořská vlna v Indonésii smetla mladý pár z balvanu, když si pořizoval romantické selfie,6626,92,19740417,76,38092363,75,65650468,69,69514036
Film,Dwayne Johnson je Mlátička. Sportovní drama vypráví skutečný příběh amerického zápasníka,6595,76,13343442,62,59287339,52,61561789,36,34571645
Válka na Ukrajině,Ruské síly udeřily na Charkov a Sumy. Mezi mrtvými je roční dítě,6336,76,24684343,66,39835859,49,57386364,43,48169192
PoliTalk,Nenávistné reakce na můj status umělce jsem čekal. Nikdo to lidem ani nevysvětlil, říká básník Lipár,6281,5,954465849,3,072759115,2,356312689,1,41697182
Krimi,Nechal se zbytečně vyprovokovat a opilce pobodal. Dostal deset a půl roku,6138,92,6360378,92,08211144,83,38220919,2,264581297
Krimi,Při nehodě na Českobudějovicku zemřel mladý řidič,5952,82,96370968,69,53965054,68,64919355,63,52486559
Jihomoravský kraj,Slovenskou spalovnu tady nechceme, přišli říct Hladíkovi lidé ze Sudoměřic,5939,89,17326149,80,43441657,76,42700791,71,99865297
Krimi,Řidič na Plzeňsku nedal v křižovatce přednost. Po srážce skončilo pět lidí v nemocnici,5859,86,19218297,75,67844342,63,35552142,60,38573135
Válka na Ukrajině,Raketový útok na západě Ukrajiny, výbuchy jsou hlášeny ve Lvově a Mukačevu,5802,75,16373664,66,11513271,58,30748018,55,15339538
Film,RECENZE: Velký vlastenecký výlet přináší sondu do hlubin dezolátovy duše,5672,85,13751763,78,01480959,70,76868829,59,1854725
Jihomoravský kraj,Chátrající zámek v Bzenci dostává novou tvář, po rekonstrukci v něm bude městský úřad,5580,89,390681,80,62724014,74,06810036,70,50179211
Hry a herní systémy,Gamescom 2025: Načasování nemohlo být horší, Sony zdražuje PlayStation 5,5355,74,32306256,57,945845,51,61531279,43,24929972
Zahraniční,Zbytečná smrt. Dvanáctiletý chlapec plnil výzvu na TikToku,4997,82,04922954,74,38463078,67,68060837,65,17910746
Krimi,V Brně hořel bytový dům, seniorku zachraňovali policisté po žebříku půjčeném od sousedů,4980,72,38955823,57,08835341,48,93574297,40,86345382
Krimi,Policie dopadla muže, který měl v Praze osahávat ženy. Byla to klukovina, vysvětlil,4711,87,62470813,79,15516875,70,91912545,62,23731692
Koktejl,Letadlo s 62 cestujícími absolvovalo cestu z Floridy do Texasu s poškozeným křídlem,4694,91,81934384,87,45206647,86,47209203,82,48828291
Krimi,Vězni na Sokolovsku měli plánovat vraždu dozorce. Když jim to nevyšlo, chtěli shořet v cele,4540,89,91189427,89,33920705,82,86343612,82,79735683
Parlamentní volby,Motoristé rozjeli agitku na Barum Rally. Turka šéf závodu vyškrtl,4495,79,57730812,69,07675195,57,13014461,50,3003337
Počasí,Hurikán Erin se po řádění v Karibiku řítí na pobřeží USA a Kanady,4273,72,10390826,56,04961385,43,62274748,35,66580857
Ekonomika,Brněnský Zetor loni vykázal stamilionové ztráty, navíc skončilo 200 zaměstnanců,4181,88,54341067,84,97966994,80,69839751,78,52188472
Krimi,Úřad nepotrestal řidiče formule z dálnice D4. Identifikaci znemožnila helma,3956,90,14155713,82,25480283,80,48533873,77,30030334
Hlavní město Praha,Stavba tramvajové linky v Malešicích potrvá další dva roky,3779,68,61603599,54,27361736,44,5091294,35,90897063
Zlínský kraj,Modernizace železniční trati do Zlína začne do půl roku,3682,85,46985334,79,90222705,74,28028246,72,81368821
Mobil,Extrémně tenký mobil od Samsungu zamířil do Česka. Na začátek je o 7500 Kč levnější,3667,63,0215435,51,78620125,42,75974911,42,75974911
Domácí,Los Emil si pod policejním dohledem užil procházku nočním Hodonínem,3595,87,00973574,75,43810848,61,6689847,55,27121001
Válka na Ukrajině,Rusko bezprostředně po jednání ve Washingtonu podniklo rozsáhlé útoky na Ukrajině,3456,85,32986111,84,98263889,76,07060185,76,07060185
Krimi,Majitel zooparku ve Zvoli, kde policie zastřelila lva, odvezl levharta,3440,69,53488372,50,37790698,42,12209302,33,54651163
Krimi,Na Plzeňsku hořel bytový dům. Dva hasiči se zranili,3252,78,22878229,64,79089791,54,21279213,50,36900369
Zahraniční,Při zřícení atrakce z patnáctimetrové výšky se v Indii zranilo pět lidí,3072,94,07552083,82,64973958,81,34765625,75,65104167
Vtipy,Roztomilé přeřeknutí Kateřiny Konečné, nebo hrozivá pravda?,3053,83,32787422,80,60923682,74,77890599,74,77890599
Hardware,Gamescom 2025: Xbox i na cesty, nová konzole dorazí už v říjnu,2694,76,80029696,66,66666667,44,46919079,31,03192279
Věda a školy,Kanibalismus v pravěku: Od boje o přežití k brutálnímu vyhlazení nepřítele,2584,89,24148607,85,874613,82,62383901,77,55417957
Divadlo,Generála Custera hraje přes dvacet let, Václav Vydra opět táhne na Little Bighorn,2578,68,85182312,56,08999224,46,43134213,38,67339022
Koktejl,Turista šel do výběhu ke krokodýlovi pro selfie v domnění, že je to atrapa. Nebyla,2526,94,25969913,87,60886778,80,48297704,72,64449723
Koktejl,Nová Grumpy Cat? Věčně zamračená kočka má možnou následovnici,2299,83,51457155,71,16137451,59,15615485,57,24227925
Domácí,Služba vlasti i odloučení od rodiny. Skoro 500 vojáků získalo ocenění za nasazení na misích,2198,69,01728844,56,23293904,44,35850773,35,35031847
Bydlení,Fanda do vlaků bydlí v opuštěném nádraží. Teď k němu přidal i luxusně zařízený historický vagon,2193,81,80574555,73,1874145,65,61787506,58,23073415
Počasí,Stoupající hladina moří boří domy. Egyptská Alexandrie čelí nové hrozbě,2137,90,40711277,81,42255498,70,75339261,62,33036968
Komentáře,Trefa Adély Knapové: Ukrajinci touží po míru, Rusko za každou cenu vyhrát,2029,70,97092164,50,96106456,39,13257762,33,61261705
