Column1
Jméno rubriky,Název článku/videa,Views,Dokoukanost do 25 %,Dokoukanost do 50 %,Dokoukanost do 75 %,Dokoukanost do 100 %
Zbytečná válka,Když obhajovali znásilňování dětí, nemohl jsem být neutrální, říká člen štábu Velkého vlasteneckého výletu,22896,25.59835779175402,10.04105520614955,6.752271139063593,3.935185185185185
Krimi,Pouliční kamera zachytila pokus uplatit úřednici na Ústecku,21528,91.65737643998514,91.1510590858417,85.14028242289112,4.05982905982906
Zahraniční,Někdo u toho velmi chce být. Trump láká Putina na mistrovství světa ve fotbale,20881,89.22465399166707,87.88851108663378,82.82170394138213,82.807336813371
Počasí,Přes tisíc obětí veder ve Španělsku. Stromy a klimatizace mohou rozhodovat o životě,20515,83.69485742139898,76.29539361442846,69.12015598342676,61.55983426760907
Válka na Ukrajině,Ukrajinci udeřili na ropovod Družba v ruské Brjanské oblasti,19951,56.8793544183249,29.47220690692196,18.3649942358779,11.37787579569946
Koktejl,Ve Švédsku přesouvají 113 let starý kostel, pět kilometrů urazí za dva dny,19625,1.156687898089172,0.6267515923566879,0.4076433121019108,0.2700636942675159
Lifestyle,Ve wingsuitu se vznášel jen pár metrů nad Stolovou horou. Nejde o extrémní sport, tvrdí,19528,92.04731667349448,88.22204014748054,78.73822204014748,66.90905366653011
Řetězák,Neexistující armáda voličů. Strašení korespondenční volbou hrubě nevyšlo,19374,45.34943739031692,22.3908330752555,13.54392484773408,8.26365231753897
Věda a školy,V Indonésii objevili lidmi vytvořené kamenné nástroje staré až 1,5 milionu let,19305,79.91193991193991,72.02279202279203,58.54441854441854,53.13649313649314
Hry a herní systémy,Gamescom 2025: Policejní auto z GTA VI se prodalo v aukci za 325 000 Kč,18710,44.05665419561732,27.92624265098878,19.85034740780332,12.42650988776056
Film,Zemřel herec Terence Stamp,18707,60.78473298765168,41.9949751429946,30.02619340353878,24.06051210776715
Krimi,V Ostravě hoří hala s odpadem, plameny likvidují desítky hasičů,18131,85.3400253709117,84.63405217583146,74.81661243174673,74.81109701616016
Krimi,Řidič motorky nepřežil střet s autem na křižovatce u Prahy,17840,79.57399103139014,64.12556053811659,63.53699551569507,59.37780269058296
Express,EXPRESS NOVINEK: Setkání Trumpa, Zelenského a evropských lídrů v Bílém domě,17801,9.100612325150273,5.291837537217011,3.814392449862367,2.556036177742823
Válka na Ukrajině,Ukrajinští mariňáci v noci vztyčili v okupované Chersonské oblasti vlajku Ukrajiny,17663,88.89203419577647,79.5844420540112,70.54860442733397,66.7723489780898
Válka na Ukrajině,ON-LINE: USA se budou podílet na bezpečnostních zárukách pro Ukrajinu, řekl Trump,17504,90.0422760511883,87.72851919561244,81.63276965265082,76.46252285191956
Věda a školy,Plynaři v Peru při kopání objevili dvě tisíc let staré hrobky,16569,77.47600941517291,67.54179491822077,58.91725511497374,50.7755446918945
Krimi,Za brutální útok na dvě dívky dostal bývalý úředník ministerstva spravedlnosti podmínku,16493,85.03607591099254,78.9971503061905,63.57848784332747,55.98738858909841
Kraj Vysočina,Už je skoro hotovo. Bagr zavěšený na jeřábu nadále bourá stometrový komín dukovanské elektrárny,15946,81.9265019440612,67.84146494418663,46.98984071240437,38.25410761319453
AI,AI vrátila ženě hlas po 25 letech. Stačilo osm vteřin staré nahrávky,15292,81.70285116400733,66.70154329060946,52.87732147528119,42.77399947685064
Ústecký kraj,U Měděnce v Krušných horách na Chomutovsku se po letech bude znovu těžit,14768,90.30335861321777,85.16386782231852,79.93634886240521,78.36538461538461
