Název videa;Views;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;Dokoukanost 25 %;Dokoukanost 50 %;Dokoukanost 75 %;Dokoukanost 100 %;KP 28 (Views);KP 7 (Views)
Věda a školy - Světový objev v umělé jeskyni kroměřížského zámku. Je plná polodrahokamů;98832;78756;59118;48353;38065;79,68674114;59,81665857;48,92443743;38,51485349;;
Koktejl - Krokodýl vnikl do supermarketu. Na dlaždičkách mezi regály mu to děsně klouzalo;95488;73043;62910;49326;40456;76,49442862;65,88262399;51,65675268;42,36762735;;
Bydlení - Postavili dům, do kterého nechali dírou ve zdi prorůstat strom;92620;81377;72423;62484;62483;87,8611531;78,19369467;67,46275103;67,46167135;;
Válka na Ukrajině - ON-LINE: Schůzka Putina a Zelenského je dohodnuta;89344;892;523;384;293;0,998388252;0,585377865;0,429799427;0,327945917;;
Válka na Ukrajině - Pohodlně udeří na Moskvu. Zelenskyj oznámil sériovou výrobu raket Flamingo;84838;71809;64448;56913;47940;84,64249511;75,96595865;67,08432542;56,50769702;;
Krimi - Obří noční zátah v Praze. Policie zastavila 1400 aut;82027;75302;69639;63741;63741;91,80148;84,89765565;77,70734027;77,70734027;;
Krimi - Policie vyšetřuje obří podvod s covidovými dotacemi;76719;60419;47647;41982;36527;78,75363339;62,10586686;54,72177687;47,61141308;;
Krimi - Mimořádný zásah u Prahy. Muž napadl cestující na lodi, se kterou pak ujel z Vltavy na Berounku;74102;65306;57124;49597;43532;88,12987504;77,0883377;66,93071712;58,74605274;;
Válka na Ukrajině - Lidé pokojně spali. Rusové zaútočili na dům v Charkově schválně, ukazuje video;69319;63797;57294;52748;45106;92,03393009;82,65266377;76,09457724;65,07018278;;67208,85714
Evropa - Hluboko v Polsku spadl záhadný předmět a explodoval. Média píší o ruském šáhidu;66739;45193;34388;26563;19605;67,71602811;51,52609419;39,80131557;29,37562744;;
Zahraniční - Použili dron naváděný laserem. Ukrajinci zlikvidovali ruský člun v Černém moři;65353;61311;61075;58748;58748;93,81512708;93,45401129;89,89334843;89,89334843;;
AutoMoto - Létající taxi poprvé vzlétlo, služba nemá stát více než běžný taxík;60912;55022;49566;42534;42533;90,33031258;81,37312845;69,8286052;69,82696349;;
Počasí - Začátkem září se čekají nadprůměrné teploty;57128;701;271;115;63;1,227069038;0,474373337;0,201302339;0,110278672;;
Krimi - Chlapec na motorce u Prahy předjížděl autobus a čelně narazil do auta;57121;48585;40053;40053;40053;85,05628403;70,11957074;70,11957074;70,11957074;;52632,71429
Zahraniční - Rusové stihli na Aljašce i reportáž. Muž převzal motocykl Ural věnovaný Putinem;56348;52126;49638;46189;42916;92,50727621;88,09185774;81,97096614;76,16241925;;53928,28571
Komentáře - Trefa Milana Mikuleckého: Vyjádření Blažka je děsivé;54335;44176;33801;25596;19603;81,30302751;62,20852121;47,10775743;36,07803442;;
Krimi - Řemeslníci z Břeclavi nemohou z policie vypáčit při razii zajištěný vercajk za statisíce. Ženou to výš;54025;48898;46841;44507;41811;90,5099491;86,70245257;82,38223045;77,39194817;;
Počasí - Hurikán Erin zamíří k Evropě. I když slábne, může ovlivnit počasí v Česku;53700;48663;43683;43488;42844;90,62011173;81,34636872;80,98324022;79,7839851;;
Koktejl - Rarita v ostravské zoo: Mláďata koček, které vypadají jako lasičky;51532;45984;36344;28698;18969;89,2338741;70,52705115;55,68966856;36,81013739;;
