Jméno rubriky,Název článku/videa,Views,Extrahované info,Novinky URL
Plzeňský kraj,Ráj vepřů a ruiny kolem. Památný dvůr pod Zelenou Horou ale už vstává z popela,37533,"Ivan Blažek, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-plzensky-kraj-pamatny-dvur-pod-zelenou-horou-vstava-z-popela-40534525
Koktejl,Muž zůstal dva dny uvězněný za vodopádem v Kalifornii,37354,Tulare County Sheriff's Office,https://www.novinky.cz/clanek/koktejl-muz-zustal-dva-dny-uvezneny-za-vodopadem-v-kalifornii-40535066
Krimi,Policie u hlavního nádraží v Praze objevila mrtvolu,36835,Aktu.cz,https://www.novinky.cz/clanek/krimi-policie-u-hlavniho-nadrazi-v-praze-objevila-mrtvolu-40534736
Cestování,Automobilový les začal jedním převráceným vozem. Dnes je vyhledávanou turistickou atrakcí,32176,Reuters,https://www.novinky.cz/clanek/cestovani-automobilovy-les-zacal-jednim-prevracenym-vozem-dnes-je-vyhledavanou-turistickou-atrakci-40532373
Krimi,Tragická nehoda zastavila vlaky mezi Prahou a Plzní,31973,Novinky,https://www.novinky.cz/clanek/krimi-tragicka-nehoda-zastavila-vlaky-mezi-prahou-a-plzni-40535423
Krimi,Nadávky a hlasitá hudba. Vlastenecké setkání na Příbramsku provázely konflikty s odpůrci,30722,Aktu.cz,https://www.novinky.cz/clanek/krimi-nadavky-a-hlasita-hudba-vlastenecke-setkani-na-pribramsku-provazely-konflikty-s-odpurci-40535504
Krimi,Cyklista u Prahy nepřežil srážku s autem,30173,"Pavel Jaňurek, Novinky",https://www.novinky.cz/clanek/krimi-cyklista-u-prahy-neprezil-srazku-s-autem-40534771
Lifestyle,Extrémní kousek motokrosaře na německé dálnici. Z jedoucího kamionu přeskočil na druhý,29189,Reuters,https://www.novinky.cz/clanek/lifestyle-extremni-kousek-motokrosare-na-nemecke-dalnici-z-jedouciho-kamionu-preskocil-na-druhy-40535049
Zahraniční,V moskevském ikonickém obchodním domě Dětskij mir došlo k výbuchu,27742,Reuters,https://www.novinky.cz/clanek/zahranicni-v-moskevskem-ikonickem-obchodnim-dome-detskij-mir-doslo-k-vybuchu-40535551
Film,Aneta Krejčíková a Igor Orozovič jako městská holka a horský záchranář. Film Na horách se představuje,27030,Donart Film,https://www.novinky.cz/clanek/kultura-filmy-serialy-aneta-krejcikova-a-igor-orozovic-jako-mestska-holka-a-horsky-zachranar-film-na-horach-se-predstavuje-40534706
Krimi,Zoufalý výtržník s nožem skončil v psychiatrické léčebně. Záznam zadržení je nejlepším policejním videem,23497,Policie ČR,https://www.novinky.cz/clanek/krimi-zoufaly-vytrznik-s-nozem-skoncil-v-psychiatricke-lecebne-zaznam-zadrzeni-je-nejlepsim-policejnim-videem-40534567
Krimi,Pouliční kamera zachytila pokus uplatit úřednici na Ústecku,21528,Policie ČR,https://www.novinky.cz/clanek/krimi-penize-ji-strkal-do-kapsy-primo-na-ulici-kamera-zachytila-pokus-uplatit-urednici-na-ustecku-40535349
Zahraniční,Někdo u toho velmi chce být. Trump láká Putina na mistrovství světa ve fotbale,20881,síť X,https://www.novinky.cz/clanek/zahranicni-nekdo-u-toho-velmi-chce-byt-trump-laka-putina-na-mistrovstvi-sveta-ve-fotbale-40535475
Počasí,Přes tisíc obětí veder ve Španělsku. Stromy a klimatizace mohou rozhodovat o životě,20515,Reuters,https://www.novinky.cz/clanek/pocasi-tisice-obeti-veder-ve-spanelsku-stromy-a-klimatizace-mohou-rozhodovat-o-zivote-40535209
Válka na Ukrajině,Ukrajinci udeřili na ropovod Družba v ruské Brjanské oblasti,19951,Robert Brovdi,https://www.novinky.cz/clanek/valka-na-ukrajine-ukrajinci-uderili-na-ropovod-druzba-v-ruske-brjanske-oblasti-40535332
Řetězák,Neexistující armáda voličů. Strašení korespondenční volbou hrubě nevyšlo,19374,Novinky,https://www.novinky.cz/clanek/podcasty-retezak-neexistujici-armada-volicu-straseni-korespondencni-volbou-hrube-nevyslo-40535340
Hry a herní systémy,Gamescom 2025: Policejní auto z GTA VI se prodalo v aukci za 325 000 Kč,18710,archiv tvůrců,https://www.novinky.cz/clanek/internet-a-pc-hry-a-herni-systemy-gamescom-2025-policejni-auto-z-gta-vi-se-prodalo-v-aukci-za-325-000-kc-40535528
Film,Zemřel herec Terence Stamp,18707,AP,https://www.novinky.cz/clanek/kultura-filmy-serialy-zemrel-herec-terence-stamp-40534610
Krimi,Řidič motorky nepřežil střet s autem na křižovatce u Prahy,17840,"Pavel Jaňurek, Novinky",https://www.novinky.cz/clanek/krimi-ridic-motorky-neprezil-stret-s-autem-na-krizovatce-u-prahy-40535064
Válka na Ukrajině,Ukrajinští mariňáci v noci vztyčili v okupované Chersonské oblasti vlajku Ukrajiny,17663,Facebook Obranných sil Ukrajiny,https://www.novinky.cz/clanek/valka-na-ukrajine-ukrajinsti-marinaci-v-noci-vztycili-v-okupovane-chersonske-oblasti-vlajku-ukrajiny-40535525
Věda a školy,Plynaři v Peru při kopání objevili dvě tisíc let staré hrobky,16569,AP,https://www.novinky.cz/clanek/veda-skoly-plynari-v-peru-pri-kopani-objevili-dve-tisic-let-stare-hrobky-40534327
Krimi,Za brutální útok na dvě dívky dostal bývalý úředník ministerstva spravedlnosti podmínku,16493,Policie ČR,https://www.novinky.cz/clanek/krimi-za-brutalni-utok-na-dve-divky-dostal-byvaly-urednik-ministerstva-spravedlnosti-podminku-40535070
Kraj Vysočina,Už je skoro hotovo. Bagr zavěšený na jeřábu nadále bourá stometrový komín dukovanské elektrárny,15946,"Michaela Bartošová, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-kraj-vysocina-uz-je-skoro-hotovo-bagr-zaveseny-na-jerabu-nadale-boura-stometrovy-komin-dukovanske-elektrarny-40534091
AI,AI vrátila ženě hlas po 25 letech. Stačilo osm vteřin staré nahrávky,15292,AP,https://www.novinky.cz/clanek/internet-a-pc-ai-ai-vratila-zene-hlas-po-25-letech-stacilo-osm-vterin-stare-nahravky-40535162
Ústecký kraj,U Měděnce v Krušných horách na Chomutovsku se po letech bude znovu těžit,14768,"Karel Otcovský, Novinky",https://www.novinky.cz/clanek/domaci-zpravy-ustecky-kraj-u-medence-v-krusnych-horach-na-chomutovsku-se-po-letech-bude-znovu-tezit-40535360
Bydlení,Vodárenská věž v Jičíně nabízí netradiční nocleh s perličkou pro odvážlivce,14339,"Michaela Bartošová, Novinky",https://www.novinky.cz/clanek/bydleni-vodarenska-vez-v-jicine-nabizi-netradicni-nocleh-s-perlickou-pro-odvazlivce-40533881
Krimi,Tragická nehoda na Táborsku. Řidič škody narazil do stromu u silnice,14336,"PF, Novinky",https://www.novinky.cz/clanek/krimi-tragicka-nehoda-na-taborsku-ridic-skody-narazil-do-stromu-u-silnice-40535114
Podcasty a pořady,Ondřej Neff o srpnu 1968: Po chodbách rozhlasu jsme doslova šli krví,14221,"Marek Tereba, Novinky",https://www.novinky.cz/clanek/podcasty-ondrej-neff-o-srpnu-1968-po-chodbach-rozhlasu-jsme-doslova-sli-krvi-40535044
Krimi,Muž ve Varech vyhodil psa z pátého patra. Dostal čtyři roky vězení,14005,"Patrik Biskup, Novinky",https://www.novinky.cz/clanek/krimi-muz-ve-varech-vyhodil-psa-z-pateho-patra-dostal-ctyri-roky-vezeni-40535297
Bydlení,DJ si kvůli stížnostem od sousedů předělal nahrávací studio. Vstup má jako do kadibudky,13825,AP,https://www.novinky.cz/clanek/bydleni-dj-si-kvuli-sousedum-predelal-nahravaci-studio-vstup-ma-jako-do-kadibudky-40535059
Cestování,Turisty na řecké pláži překvapil rohatý bandita,13189,"Newsflare, AP",https://www.novinky.cz/clanek/cestovani-turisty-na-recke-plazi-prekvapil-rohaty-bandita-40533639
Krimi,Má zákaz řízení a nesmí do Česka. Jízda opilého Poláka skončila u Olomouce,12865,Policie ČR,https://www.novinky.cz/clanek/krimi-ma-zakaz-rizeni-a-nesmi-do-ceska-jizda-opileho-polaka-skoncila-u-olomouce-40534682
Domácí,S kamerou na stavbě Dvoreckého mostu. Hotový by měl být v únoru,12822,"Michaela Bartošová, Novinky",https://www.novinky.cz/clanek/domaci-s-kamerou-na-dokoncovanem-dvoreckem-moste-pro-mhd-i-pesi-se-muze-otevrit-v-unoru-40535036
